Name of the Journal,Website URL,Editor URL,Archive URL,Contact URL,ISSN
Advances in Crop Science and Technology Open Access Journal,https://www.omicsonline.org/advances-crop-science-and-technology.php,https://www.omicsonline.org/editorialboard-advances-in-crop-science-and-technology-open-access.php,https://www.omicsonline.org/archive-advances-in-crop-science-and-technology-open-access.php,https://www.omicsonline.org/contact-advances-in-crop-science-and-technology-open-access.php, ISSN: 2329-8863
Agrotechnology Open Access Journal,https://www.omicsonline.org/agrotechnology.php,https://www.omicsonline.org/editorialboard-agrotechnology-open-access.php,https://www.omicsonline.org/archive-agrotechnology-open-access.php,https://www.omicsonline.org/contact-agrotechnology-open-access.php, ISSN: 2168-9881
Fisheries and Aquaculture Journal Open Access Journal,https://www.omicsonline.org/fisheries-and-aquaculture-journal.php,https://www.omicsonline.org/editorialboard-fisheries-and-aquaculture-journal-open-access.php,https://www.omicsonline.org/archive-fisheries-and-aquaculture-journal-open-access.php,https://www.omicsonline.org/contact-fisheries-and-aquaculture-journal-open-access.php, ISSN: 2150-3508
Journal of Agricultural Science and Food Research Open Access Journal,https://www.omicsonline.org/biofertilizers-biopesticides.php,https://www.omicsonline.org/editorialboard-biofertilizers-biopesticides-open-access.php,https://www.omicsonline.org/archive-biofertilizers-biopesticides-open-access.php,https://www.omicsonline.org/contact-biofertilizers-biopesticides-open-access.php, 
"Journal of Aquaculture Research & Development Open Access Journal, Official Journal of Reef Ball Foundation",https://www.omicsonline.org/aquaculture-research-development.php,https://www.omicsonline.org/editorialboard-aquaculture-research-development-open-access.php,https://www.omicsonline.org/archive-aquaculture-research-development-open-access.php,https://www.omicsonline.org/contact-aquaculture-research-development-open-access.php, ISSN: 2155-9546
Journal of Fisheries & Livestock Production Open Access Journal,https://www.omicsonline.org/fisheries-livestock-production.php,https://www.omicsonline.org/editorialboard-fisheries-livestock-production-open-access.php,https://www.omicsonline.org/archive-fisheries-livestock-production-open-access.php,https://www.omicsonline.org/contact-fisheries-livestock-production-open-access.php, ISSN: 2332-2608
Journal of Horticulture Open Access Journal,https://www.omicsonline.org/horticulture.php,https://www.omicsonline.org/editorialboard-horticulture-open-access.php,https://www.omicsonline.org/archive-horticulture-open-access.php,https://www.omicsonline.org/contact-horticulture-open-access.php, ISSN: 2376-0354
"Journal of Marine Science: Research & Development Open Access Journal, Official Journal of Reef Ball Foundation",https://www.omicsonline.org/marine-science-research-development.php,https://www.omicsonline.org/editorialboard-marine-science-research-development-open-access.php,https://www.omicsonline.org/archive-marine-science-research-development-open-access.php,https://www.omicsonline.org/contact-marine-science-research-development-open-access.php, ISSN: 2155-9910
Journal of Plant Pathology & Microbiology Open Access Journal,https://www.omicsonline.org/plant-pathology-microbiology.php,https://www.omicsonline.org/editorialboard-plant-pathology-microbiology-open-access.php,https://www.omicsonline.org/archive-plant-pathology-microbiology-open-access.php,https://www.omicsonline.org/contact-plant-pathology-microbiology-open-access.php, ISSN: 2157-7471
"Poultry, Fisheries & Wildlife Sciences Open Access Journal",https://www.omicsonline.org/poultry-fisheries-wildlife-sciences.php,https://www.omicsonline.org/editorialboard-poultry-fisheries-wildlife-sciences-open-access.php,https://www.omicsonline.org/archive-poultry-fisheries-wildlife-sciences-open-access.php,https://www.omicsonline.org/contact-poultry-fisheries-wildlife-sciences-open-access.php, ISSN: 2375-446X
Rice Research: Open Access Open Access Journal,https://www.omicsonline.org/rice-research.php,https://www.omicsonline.org/editorialboard-rice-research-open-access.php,https://www.omicsonline.org/archive-rice-research-open-access.php,https://www.omicsonline.org/contact-rice-research-open-access.php, ISSN: 2375-4338
Biochemistry & Analytical Biochemistry Open Access Journal,https://www.omicsonline.org/biochemistry-and-analytical-biochemistry.php,https://www.omicsonline.org/editorialboard-biochemistry-and-analytical-biochemistry-open-access.php,https://www.omicsonline.org/archive-biochemistry-and-analytical-biochemistry-open-access.php,https://www.omicsonline.org/contact-biochemistry-and-analytical-biochemistry-open-access.php, ISSN: 2161-1009
Biochemistry & Physiology: Open Access Open Access Journal,https://www.omicsonline.org/biochemistry-physiology-open-access.php,https://www.omicsonline.org/editorialboard-biochemistry-physiology-open-access.php,https://www.omicsonline.org/archive-biochemistry-physiology-open-access.php,https://www.omicsonline.org/contact-biochemistry-physiology-open-access.php, ISSN: 2168-9652
Bioenergetics: Open Access Open Access Journal,https://www.omicsonline.org/bioenergetics.php,https://www.omicsonline.org/editorialboard-bioenergetics-open-access.php,https://www.omicsonline.org/archive-bioenergetics-open-access.php,https://www.omicsonline.org/contact-bioenergetics-open-access.php, ISSN: 2167-7662
Clinical & Medical Biochemistry Open Access Journal,https://www.omicsonline.org/clinical-medical-biochemistry.php,https://www.omicsonline.org/editorialboard-clinical-medical-biochemistry.php,https://www.omicsonline.org/archive-clinical-medical-biochemistry.php,https://www.omicsonline.org/contact-clinical-medical-biochemistry.php, ISSN: 2471-2663
Enzyme Engineering Open Access Journal,https://www.omicsonline.org/enzyme-engineering.php,https://www.omicsonline.org/editorialboard-enzyme-engineering-open-access.php,https://www.omicsonline.org/archive-enzyme-engineering-open-access.php,https://www.omicsonline.org/contact-enzyme-engineering-open-access.php, ISSN: 2329-6674
Journal of Biochemical and Microbial Toxicology ,https://www.omicsonline.org/journal-biochemical-microbial-toxicology.php,https://www.omicsonline.org/editorialboard-journal-biochemical-microbial-toxicology.php,https://www.omicsonline.org/archive-journal-biochemical-microbial-toxicology.php,https://www.omicsonline.org/contact-journal-biochemical-microbial-toxicology.php, 
Journal of Biochemistry and Cell Biology ,https://www.omicsonline.org/journal-biochemistry-cell-biology.php,https://www.omicsonline.org/editorialboard-journal-biochemistry-cell-biology.php,https://www.omicsonline.org/archive-journal-biochemistry-cell-biology.php,https://www.omicsonline.org/contact-journal-biochemistry-cell-biology.php, 
Journal of Chemical Biology & Therapeutics Open Access Journal,https://www.omicsonline.org/chemical-biology-therapeutics.php,https://www.omicsonline.org/editorialboard-chemical-biology-therapeutics.php,https://www.omicsonline.org/archive-chemical-biology-therapeutics.php,https://www.omicsonline.org/contact-chemical-biology-therapeutics.php, ISSN: 2572-0406
journal of clinical chemistry and laboratory medicine ,https://www.omicsonline.org/journal-clinical-chemistry-laboratory-medicine.php,https://www.omicsonline.org/editorialboard-journal-clinical-chemistry-laboratory-medicine.php,https://www.omicsonline.org/archive-journal-clinical-chemistry-laboratory-medicine.php,https://www.omicsonline.org/contact-journal-clinical-chemistry-laboratory-medicine.php, 
Journal of Glycobiology Open Access Journal,https://www.omicsonline.org/glycobiology.php,https://www.omicsonline.org/editorialboard-glycobiology-open-access.php,https://www.omicsonline.org/archive-glycobiology-open-access.php,https://www.omicsonline.org/contact-glycobiology-open-access.php, ISSN: 2168-958X
Journal of Membrane Science & Technology Open Access Journal,https://www.omicsonline.org/membrane-science-technology.php,https://www.omicsonline.org/editorialboard-membrane-science-technology-open-access.php,https://www.omicsonline.org/archive-membrane-science-technology-open-access.php,https://www.omicsonline.org/contact-membrane-science-technology-open-access.php, ISSN: 2155-9589
Journal of Plant Biochemistry & Physiology Open Access Journal,https://www.omicsonline.org/plant-biochemistry-physiology.php,https://www.omicsonline.org/editorialboard-plant-biochemistry-physiology-open-access.php,https://www.omicsonline.org/archive-plant-biochemistry-physiology-open-access.php,https://www.omicsonline.org/contact-plant-biochemistry-physiology-open-access.php, ISSN: 2329-9029
Current Synthetic and Systems Biology Open Access Journal,https://www.omicsonline.org/current-synthetic-and-systems-biology.php,https://www.omicsonline.org/editorialboard-current-synthetic-and-systems-biology-open-access.php,https://www.omicsonline.org/archive-current-synthetic-and-systems-biology-open-access.php,https://www.omicsonline.org/contact-current-synthetic-and-systems-biology-open-access.php, ISSN: 2332-0737
Journal of Computer Science & Systems Biology Open Access Journal,https://www.omicsonline.org/computer-science-systems-biology.php,https://www.omicsonline.org/editorialboard-computer-science-systems-biology-open-access.php,https://www.omicsonline.org/archive-computer-science-systems-biology-open-access.php,https://www.omicsonline.org/contact-computer-science-systems-biology-open-access.php, ISSN: 0974-7230
Journal of Data Mining in Genomics & Proteomics Open Access Journal,https://www.omicsonline.org/data-mining-in-genomics-proteomics.php,https://www.omicsonline.org/editorialboard-data-mining-in-genomics-proteomics-open-access.php,https://www.omicsonline.org/archive-data-mining-in-genomics-proteomics-open-access.php,https://www.omicsonline.org/contact-data-mining-in-genomics-proteomics-open-access.php, ISSN: 2153-0602
